City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,65,41,64,63,72,64,61,35,68,2011
New York NY,56,28,47,51,61,51,55,27,55,2011
Binghamton NY,60,27,53,66,56,48,73,42,62,2011
Macon GA,59,43,54,56,69,54,54,50,67,2011
Philadelphia PA,66,40,55,59,84,67,64,35,67,2011
Detroit MI,58,45,59,56,62,53,64,32,59,2011
Boston MA-Manchester NH,61,36,54,55,91,64,61,33,65,2011
Savannah GA,58,44,64,52,63,54,65,47,67,2011
Pittsburgh PA,67,41,63,64,78,67,71,36,72,2011
Ft. Wayne IN,59,34,58,63,51,47,70,43,71,2011
Cleveland-Akron (Canton) OH,61,40,59,58,61,56,67,35,67,2011
Washington DC (Hagerstown MD),56,32,49,47,53,68,57,33,62,2011
Baltimore MD,66,50,59,58,66,71,61,42,75,2011
Flint-Saginaw-Bay City MI,61,43,66,68,64,54,63,48,66,2011
Buffalo NY,69,29,61,63,65,54,64,36,68,2011
Cincinnati OH,59,34,54,58,60,60,64,37,66,2011
Erie PA,68,53,68,75,68,63,73,44,72,2011
Charlotte NC,55,28,56,49,62,48,62,26,59,2011
Greensboro-High Point-Winston Salem NC,63,37,60,58,72,53,64,48,70,2011
Charleston SC,65,47,76,60,64,60,63,33,68,2011
Augusta GA,60,75,66,58,71,60,65,40,83,2011
Providence RI-New Bedford MA,59,35,56,61,79,59,62,35,65,2011
Columbus GA,58,48,52,62,60,56,64,45,78,2011
Burlington VT-Plattsburgh NY,62,30,55,65,78,71,66,45,62,2011
Atlanta GA,55,36,54,48,59,51,64,31,58,2011
Albany GA,62,64,49,62,67,59,50,62,81,2011
Utica NY,63,30,61,75,51,51,67,62,62,2011
Indianapolis IN,65,38,59,59,64,61,65,44,81,2011
Miami-Ft. Lauderdale FL,55,39,49,42,58,47,57,24,57,2011
Louisville KY,65,52,65,61,93,64,67,41,73,2011
Tallahassee FL-Thomasville GA,59,45,56,59,72,62,61,49,70,2011
Tri-Cities TN-VA,71,79,72,66,62,71,83,36,89,2011
Albany-Schenectady-Troy NY,61,31,57,62,62,64,59,36,64,2011
Hartford & New Haven CT,63,37,56,61,81,66,59,37,65,2011
Orlando-Daytona Beach-Melbourne FL,56,42,56,47,69,45,62,27,61,2011
Columbus OH,62,32,55,55,59,53,66,32,65,2011
Youngstown OH,64,36,66,70,70,51,73,47,59,2011
Bangor ME,66,40,72,62,75,75,64,54,70,2011
Rochester NY,64,31,61,60,51,62,58,39,66,2011
Tampa-St. Petersburg (Sarasota) FL,62,38,61,47,75,50,60,23,61,2011
Traverse City-Cadillac MI,62,32,73,60,53,58,57,41,72,2011
