City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,69,38,70,64,60,64,69,49,81,2016
New York NY,68,41,47,53,51,64,57,49,77,2016
Binghamton NY,74,33,66,66,44,72,79,70,74,2016
Macon GA,63,59,65,56,69,56,66,51,78,2016
Philadelphia PA,74,42,56,59,72,70,70,52,80,2016
Detroit MI,66,48,60,58,57,61,71,43,73,2016
Boston MA-Manchester NH,68,44,54,57,71,66,63,53,76,2016
Savannah GA,65,45,62,57,47,54,71,46,70,2016
Pittsburgh PA,74,42,66,62,68,70,78,50,79,2016
Ft. Wayne IN,64,54,61,64,44,56,77,55,84,2016
Cleveland-Akron (Canton) OH,69,43,58,61,51,58,76,48,77,2016
Washington DC (Hagerstown MD),63,39,51,52,45,70,59,53,77,2016
Baltimore MD,71,54,58,59,54,71,67,61,86,2016
Flint-Saginaw-Bay City MI,70,50,76,65,53,63,80,57,77,2016
Buffalo NY,71,41,61,61,59,64,76,50,78,2016
Cincinnati OH,66,37,56,57,47,64,73,46,76,2016
Erie PA,74,38,64,70,50,64,78,46,80,2016
Charlotte NC,63,34,56,54,49,55,67,45,72,2016
Greensboro-High Point-Winston Salem NC,66,48,64,58,61,61,66,59,80,2016
Charleston SC,66,41,72,58,45,63,74,47,76,2016
Augusta GA,66,70,70,57,62,60,74,55,79,2016
Providence RI-New Bedford MA,69,55,58,62,54,61,69,55,77,2016
Columbus GA,69,72,61,60,57,54,72,68,80,2016
Burlington VT-Plattsburgh NY,66,37,63,67,65,72,70,68,72,2016
Atlanta GA,66,45,58,52,51,57,68,43,73,2016
Albany GA,63,67,67,59,47,51,68,56,79,2016
Utica NY,73,39,71,68,53,74,74,64,83,2016
Indianapolis IN,68,50,56,62,49,64,72,54,85,2016
Miami-Ft. Lauderdale FL,62,47,48,44,52,50,51,43,70,2016
Louisville KY,70,51,68,60,79,63,80,46,84,2016
Tallahassee FL-Thomasville GA,66,54,67,67,54,58,68,60,83,2016
Tri-Cities TN-VA,76,56,73,67,56,65,88,51,84,2016
Albany-Schenectady-Troy NY,71,28,60,61,52,70,75,45,73,2016
Hartford & New Haven CT,73,46,62,63,77,78,66,58,80,2016
Orlando-Daytona Beach-Melbourne FL,62,53,59,51,64,51,64,42,72,2016
Columbus OH,69,41,56,59,47,66,74,50,76,2016
Youngstown OH,72,33,66,68,52,56,90,46,73,2016
Bangor ME,72,52,78,65,54,80,77,53,92,2016
Rochester NY,70,36,61,58,41,67,68,52,74,2016
Tampa-St. Petersburg (Sarasota) FL,72,49,63,55,66,55,64,41,72,2016
Traverse City-Cadillac MI,66,32,81,65,43,59,74,52,69,2016
Lexington KY,74,41,70,66,53,68,90,66,87,2016
Dayton OH,66,39,56,60,47,66,76,44,83,2016
Springfield-Holyoke MA,71,56,62,70,67,71,70,73,78,2016
Norfolk-Portsmouth-Newport News VA,64,53,57,56,45,61,69,49,78,2016
Greenville-New Bern-Washington NC,65,47,74,60,51,59,74,58,78,2016
Columbia SC,66,60,62,66,45,60,69,75,83,2016
Toledo OH,67,41,60,67,56,68,76,54,80,2016
West Palm Beach-Ft. Pierce FL,70,44,59,51,78,55,61,47,73,2016
Watertown NY,70,35,69,69,34,70,77,61,76,2016
Wilmington NC,64,38,73,61,57,62,67,51,74,2016
Lansing MI,63,51,65,66,56,74,68,55,76,2016
Presque Isle ME,74,48,99,100,73,50,69,91,78,2016
Marquette MI,64,58,84,73,48,80,74,51,75,2016
Wheeling WV-Steubenville OH,76,39,73,63,60,66,100,53,76,2016
Syracuse NY,68,44,65,67,46,70,72,74,80,2016
Richmond-Petersburg VA,67,72,58,62,47,63,68,57,84,2016
Knoxville TN,67,39,67,58,61,59,84,41,73,2016
Lima OH,69,16,59,65,46,52,76,49,72,2016
Bluefield-Beckley-Oak Hill WV,78,33,73,74,45,69,97,57,80,2016
Raleigh-Durham (Fayetteville) NC,64,49,56,58,49,66,62,58,78,2016
Jacksonville FL,65,66,65,55,81,53,72,43,78,2016
Grand Rapids-Kalamazoo-Battle Creek MI,64,44,64,64,44,61,71,48,70,2016
Charleston-Huntington WV,80,41,76,70,57,73,87,54,89,2016
Elmira NY,69,30,70,67,44,76,87,49,83,2016
Harrisburg-Lancaster-Lebanon-York PA,69,52,63,64,67,67,77,47,76,2016
Greenville-Spartanburg SC-Asheville NC-Anderson SC,68,39,63,60,60,60,72,44,76,2016
Harrisonburg VA,67,51,62,71,63,69,78,71,80,2016
Florence-Myrtle Beach SC,63,38,63,55,46,49,65,42,71,2016
Ft. Myers-Naples FL,75,46,68,48,52,50,63,37,72,2016
Roanoke-Lynchburg VA,66,52,63,63,74,66,78,54,83,2016
Johnstown-Altoona PA,70,52,71,68,45,66,81,72,77,2016
Chattanooga TN,68,38,67,61,52,53,75,36,75,2016
Salisbury MD,68,53,66,52,57,66,75,49,77,2016
Wilkes Barre-Scranton PA,71,39,66,67,70,68,89,44,78,2016
Terre Haute IN,63,52,68,73,47,70,86,62,79,2016
Lafayette IN,60,69,50,69,26,90,68,71,84,2016
Alpena MI,78,0,100,74,52,65,90,0,79,2016
Charlottesville VA,72,68,67,66,61,78,72,70,82,2016
South Bend-Elkhart IN,66,45,54,63,37,60,69,54,80,2016
Gainesville FL,77,97,77,69,69,84,64,93,95,2016
Zanesville OH,78,39,78,68,59,69,86,48,75,2016
Parkersburg WV,78,35,76,65,46,76,84,35,93,2016
Clarksburg-Weston WV,76,33,68,69,45,71,93,50,76,2016
Corpus Christi TX,63,42,52,54,48,62,76,49,89,2016
Chicago IL,64,41,52,54,45,56,65,45,73,2016
Joplin MO-Pittsburg KS,64,53,69,71,50,60,71,50,80,2016
Columbia-Jefferson City MO,68,61,66,67,56,78,68,100,90,2016
Topeka KS,62,44,58,63,43,71,76,65,73,2016
Dothan AL,64,45,65,65,63,54,91,40,72,2016
St. Louis MO,68,39,61,60,59,65,74,44,78,2016
Rockford IL,71,38,58,64,45,61,78,46,78,2016
Rochester MN-Mason City IA-Austin MN,100,100,74,67,33,100,75,87,99,2016
Shreveport LA,68,59,68,57,59,57,82,44,85,2016
Minneapolis-St. Paul MN,61,46,64,61,38,61,67,51,77,2016
Kansas City MO,67,52,61,61,58,60,69,49,83,2016
Milwaukee WI,65,46,58,61,41,58,68,51,74,2016
Houston TX,61,44,52,48,41,57,65,41,75,2016
Springfield MO,65,42,72,65,57,62,80,55,76,2016
New Orleans LA,63,50,66,52,51,55,73,55,75,2016
Dallas-Ft. Worth TX,57,41,53,51,54,56,68,37,71,2016
Sioux City IA,63,39,59,60,37,60,68,51,73,2016
Waco-Temple-Bryan TX,55,55,51,63,42,74,79,81,77,2016
Victoria TX,65,33,70,58,68,58,66,0,87,2016
Wichita Falls TX & Lawton OK,61,32,65,66,75,64,82,48,84,2016
Monroe LA-El Dorado AR,66,57,70,58,63,48,74,54,89,2016
Birmingham AL,71,75,69,61,74,56,77,49,81,2016
Ottumwa IA-Kirksville MO,67,39,68,73,45,83,66,71,96,2016
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,69,68,73,68,63,60,83,54,79,2016
Odessa-Midland TX,54,34,51,51,57,49,79,35,76,2016
Amarillo TX,61,34,56,54,46,61,88,35,83,2016
Austin TX,56,33,52,50,49,62,63,40,73,2016
Harlingen-Weslaco-Brownsville-McAllen TX,56,46,40,49,46,46,58,50,94,2016
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,67,47,63,68,43,68,75,69,84,2016
St. Joseph MO,64,57,65,64,43,77,70,58,69,2016
Jackson TN,77,77,67,62,67,57,79,52,88,2016
Memphis TN,68,90,60,55,62,56,69,57,82,2016
San Antonio TX,58,40,49,52,51,57,69,43,83,2016
Lafayette LA,62,89,68,55,51,50,73,38,67,2016
Lake Charles LA,61,49,67,56,50,50,73,33,74,2016
Alexandria LA,61,43,70,58,63,65,79,54,79,2016
Greenwood-Greenville MS,73,73,64,59,58,46,65,85,100,2016
Champaign & Springfield-Decatur IL,65,61,58,64,45,71,70,75,77,2016
Evansville IN,68,39,75,70,55,58,81,49,83,2016
Oklahoma City OK,63,45,58,59,47,66,79,51,80,2016
Lubbock TX,57,50,60,64,52,66,71,60,79,2016
Omaha NE,65,35,63,57,58,62,72,49,78,2016
Panama City FL,63,40,70,56,62,54,77,31,64,2016
Sherman TX-Ada OK,63,46,73,68,56,67,79,41,81,2016
Green Bay-Appleton WI,61,34,65,62,36,61,70,50,69,2016
Nashville TN,68,42,66,55,64,64,77,49,79,2016
San Angelo TX,59,44,64,61,86,70,75,50,79,2016
Abilene-Sweetwater TX,61,50,69,65,100,66,77,48,80,2016
Madison WI,63,35,62,57,39,81,70,53,72,2016
Ft. Smith-Fayetteville-Springdale-Rogers AR,58,38,58,63,71,69,77,45,75,2016
Tulsa OK,57,35,56,50,52,53,64,37,69,2016
Columbus-Tupelo-West Point MS,69,54,63,69,65,65,72,66,86,2016
Peoria-Bloomington IL,70,45,69,67,40,66,73,55,81,2016
Duluth MN-Superior WI,65,46,82,72,41,61,73,68,82,2016
Wichita-Hutchinson KS,63,43,65,60,45,58,75,43,80,2016
Des Moines-Ames IA,60,45,52,62,41,64,73,60,77,2016
Davenport IA-Rock Island-Moline IL,66,58,59,67,44,56,76,50,78,2016
Mobile AL-Pensacola (Ft. Walton Beach) FL,68,50,68,59,54,54,73,40,73,2016
Minot-Bismarck-Dickinson(Williston) ND,60,22,73,61,40,67,77,34,71,2016
Huntsville-Decatur (Florence) AL,70,52,62,62,63,56,77,38,80,2016
