City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,67,42,67,74,73,68,61,46,65,2012
New York NY,58,28,45,59,54,47,52,40,52,2012
Binghamton NY,62,29,54,74,47,56,68,61,63,2012
Macon GA,59,48,60,63,74,57,58,67,67,2012
Philadelphia PA,69,39,56,69,83,62,65,51,61,2012
Detroit MI,59,38,54,62,56,46,59,41,52,2012
Boston MA-Manchester NH,64,34,55,64,89,61,62,44,58,2012
Savannah GA,60,41,65,67,53,56,62,58,60,2012
Pittsburgh PA,68,39,63,73,76,61,66,52,66,2012
Ft. Wayne IN,61,42,57,73,47,51,62,56,62,2012
Cleveland-Akron (Canton) OH,64,38,62,66,56,52,67,47,61,2012
Washington DC (Hagerstown MD),60,33,50,57,54,59,60,48,58,2012
Baltimore MD,67,50,61,69,64,66,61,64,69,2012
Flint-Saginaw-Bay City MI,65,39,64,69,60,49,67,57,57,2012
Buffalo NY,71,34,59,77,58,64,65,56,64,2012
Cincinnati OH,62,38,55,70,53,60,60,52,63,2012
Erie PA,68,30,65,84,69,58,68,64,63,2012
Charlotte NC,59,29,55,58,59,46,62,41,56,2012
Greensboro-High Point-Winston Salem NC,64,34,61,66,62,59,59,58,64,2012
Charleston SC,65,37,74,68,54,55,62,52,64,2012
Augusta GA,65,56,71,69,74,50,60,72,72,2012
Providence RI-New Bedford MA,62,38,56,75,69,60,66,54,59,2012
Columbus GA,62,58,59,70,58,60,60,75,64,2012
Burlington VT-Plattsburgh NY,65,33,64,74,74,77,59,65,60,2012
Atlanta GA,59,35,54,54,55,46,60,40,52,2012
Albany GA,64,55,70,65,53,42,68,75,70,2012
Utica NY,66,33,69,83,51,57,67,56,59,2012
Indianapolis IN,65,41,63,74,59,60,65,60,73,2012
Miami-Ft. Lauderdale FL,56,41,48,49,57,41,52,34,49,2012
Louisville KY,65,48,65,67,85,57,69,51,66,2012
Tallahassee FL-Thomasville GA,61,47,55,72,75,51,59,66,67,2012
Tri-Cities TN-VA,72,54,68,75,67,58,67,47,68,2012
Albany-Schenectady-Troy NY,67,30,57,70,57,64,68,54,60,2012
Hartford & New Haven CT,69,38,60,75,81,68,59,56,62,2012
Orlando-Daytona Beach-Melbourne FL,60,39,56,55,66,45,64,34,53,2012
Columbus OH,65,29,56,65,57,52,69,48,59,2012
Youngstown OH,69,47,55,85,67,51,70,63,61,2012
Bangor ME,70,40,74,77,66,70,71,55,72,2012
Rochester NY,68,40,58,71,48,66,62,57,60,2012
Tampa-St. Petersburg (Sarasota) FL,66,48,62,58,77,51,59,41,59,2012
Traverse City-Cadillac MI,60,27,65,76,56,62,59,56,63,2012
Lexington KY,67,41,63,70,64,57,76,71,67,2012
Dayton OH,62,35,57,66,53,54,63,64,65,2012
Springfield-Holyoke MA,60,34,59,79,75,59,64,47,56,2012
Norfolk-Portsmouth-Newport News VA,58,47,59,64,52,53,57,52,60,2012
Greenville-New Bern-Washington NC,62,51,68,68,61,57,69,73,70,2012
Columbia SC,64,53,62,68,53,58,62,77,72,2012
Toledo OH,62,44,59,71,62,51,58,72,65,2012
West Palm Beach-Ft. Pierce FL,64,41,62,56,76,50,55,36,56,2012
Watertown NY,60,34,63,70,43,74,73,70,61,2012
Wilmington NC,62,43,71,65,68,52,62,55,57,2012
Lansing MI,59,53,62,72,75,60,57,62,60,2012
Presque Isle ME,78,38,100,98,93,46,50,58,78,2012
Marquette MI,62,51,80,84,61,70,64,44,52,2012
Wheeling WV-Steubenville OH,77,23,72,82,75,61,100,38,56,2012
Syracuse NY,64,37,61,76,51,68,61,81,60,2012
Richmond-Petersburg VA,65,59,59,71,58,51,55,53,69,2012
Knoxville TN,62,30,64,66,59,58,68,44,59,2012
Lima OH,66,32,70,97,59,58,62,78,66,2012
Bluefield-Beckley-Oak Hill WV,68,26,75,74,63,67,85,41,64,2012
Raleigh-Durham (Fayetteville) NC,65,43,59,65,55,66,60,60,63,2012
Jacksonville FL,62,59,63,62,89,53,60,53,67,2012
Grand Rapids-Kalamazoo-Battle Creek MI,59,30,62,75,51,57,61,56,56,2012
Charleston-Huntington WV,72,45,67,81,62,69,75,65,72,2012
Elmira NY,69,22,54,73,54,59,73,57,57,2012
Harrisburg-Lancaster-Lebanon-York PA,66,40,58,72,74,61,65,47,63,2012
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63,34,64,69,61,60,66,47,59,2012
Harrisonburg VA,61,34,61,91,69,53,59,66,62,2012
Florence-Myrtle Beach SC,63,25,58,69,56,37,55,51,60,2012
Ft. Myers-Naples FL,66,42,70,57,62,49,58,34,52,2012
Roanoke-Lynchburg VA,61,44,65,78,76,63,57,58,66,2012
Johnstown-Altoona PA,65,51,60,89,53,57,66,85,61,2012
Chattanooga TN,58,32,58,69,55,56,63,44,60,2012
Salisbury MD,66,48,76,76,71,59,68,62,57,2012
Wilkes Barre-Scranton PA,67,34,62,81,78,69,76,52,63,2012
Terre Haute IN,58,45,75,85,51,49,68,71,69,2012
Lafayette IN,61,40,48,68,35,57,62,69,57,2012
Alpena MI,66,0,63,93,72,87,71,0,53,2012
Charlottesville VA,69,62,66,76,60,62,70,60,61,2012
South Bend-Elkhart IN,61,42,54,68,45,54,61,57,58,2012
Gainesville FL,67,75,70,63,72,78,60,87,78,2012
Zanesville OH,63,78,76,71,84,47,60,54,61,2012
Parkersburg WV,71,33,60,73,52,63,73,46,61,2012
