City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,71,34,75,78,67,70,64,52,66,2013
New York NY,64,29,51,60,52,60,58,44,58,2013
Binghamton NY,68,34,70,78,42,66,65,52,70,2013
Macon GA,62,45,68,67,65,60,62,62,64,2013
Philadelphia PA,75,36,62,66,77,69,68,51,68,2013
Detroit MI,66,38,63,65,57,58,65,45,62,2013
Boston MA-Manchester NH,67,33,61,67,81,67,64,48,63,2013
Savannah GA,66,46,67,63,48,61,69,61,66,2013
Pittsburgh PA,73,39,72,76,69,70,75,52,71,2013
Ft. Wayne IN,64,29,67,78,42,59,70,56,73,2013
Cleveland-Akron (Canton) OH,68,35,65,69,53,59,73,51,68,2013
Washington DC (Hagerstown MD),64,30,53,57,48,70,63,50,62,2013
Baltimore MD,70,45,65,68,58,73,64,62,72,2013
Flint-Saginaw-Bay City MI,65,34,81,67,55,58,78,52,63,2013
Buffalo NY,75,30,64,75,53,65,70,53,69,2013
Cincinnati OH,64,35,60,68,48,67,66,50,72,2013
Erie PA,72,32,71,82,60,67,79,58,72,2013
Charlotte NC,62,28,57,58,52,51,64,41,60,2013
Greensboro-High Point-Winston Salem NC,69,41,70,65,58,63,63,60,70,2013
Charleston SC,67,30,82,69,58,73,69,54,69,2013
Augusta GA,68,57,70,65,57,53,63,70,75,2013
Providence RI-New Bedford MA,65,39,59,73,63,67,64,54,66,2013
Columbus GA,64,54,58,70,58,61,67,67,74,2013
Burlington VT-Plattsburgh NY,65,32,67,76,64,77,64,64,61,2013
Atlanta GA,63,33,58,55,52,50,66,41,58,2013
Albany GA,68,57,75,70,47,56,65,55,73,2013
Utica NY,69,31,77,80,51,60,71,78,71,2013
Indianapolis IN,67,34,64,70,54,66,73,57,79,2013
Miami-Ft. Lauderdale FL,61,38,57,51,56,47,54,37,57,2013
Louisville KY,70,44,73,69,83,61,72,54,75,2013
Tallahassee FL-Thomasville GA,68,50,70,72,66,59,60,72,73,2013
Tri-Cities TN-VA,79,55,79,78,60,76,81,50,72,2013
Albany-Schenectady-Troy NY,69,26,64,73,50,72,69,50,69,2013
Hartford & New Haven CT,74,37,65,74,75,73,66,60,67,2013
Orlando-Daytona Beach-Melbourne FL,65,44,63,56,65,53,66,39,62,2013
Columbus OH,67,33,60,66,49,59,68,51,68,2013
Youngstown OH,72,36,70,76,53,54,76,58,69,2013
Bangor ME,72,37,78,81,59,74,58,52,74,2013
Rochester NY,72,40,66,71,44,69,65,59,67,2013
Tampa-St. Petersburg (Sarasota) FL,72,41,68,57,68,56,66,41,64,2013
Traverse City-Cadillac MI,62,35,86,89,49,67,71,62,61,2013
Lexington KY,68,40,74,75,57,70,81,78,79,2013
Dayton OH,62,29,60,64,49,61,67,49,72,2013
Springfield-Holyoke MA,66,28,63,76,69,65,64,63,67,2013
Norfolk-Portsmouth-Newport News VA,62,44,62,65,47,60,65,52,67,2013
Greenville-New Bern-Washington NC,63,45,74,69,48,68,70,69,70,2013
Columbia SC,66,45,70,70,50,69,64,85,76,2013
Toledo OH,69,37,64,70,57,63,67,68,71,2013
West Palm Beach-Ft. Pierce FL,61,27,52,45,56,38,49,26,55,2013
Watertown NY,63,25,69,86,39,77,71,69,69,2013
Wilmington NC,67,39,81,72,70,67,66,55,63,2013
Lansing MI,65,50,68,70,64,67,68,65,71,2013
Presque Isle ME,81,49,92,91,64,79,70,65,94,2013
Marquette MI,66,39,93,100,49,73,73,56,74,2013
Wheeling WV-Steubenville OH,75,38,87,78,69,66,92,41,77,2013
Syracuse NY,70,33,63,77,48,70,67,73,66,2013
Richmond-Petersburg VA,69,57,62,70,55,65,62,54,79,2013
Knoxville TN,68,26,70,64,57,61,76,44,66,2013
Lima OH,68,27,62,89,48,53,72,82,68,2013
Bluefield-Beckley-Oak Hill WV,70,29,74,81,47,67,91,45,74,2013
Raleigh-Durham (Fayetteville) NC,69,40,63,67,51,72,64,63,70,2013
