City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Houston TX,70,41,53,51,47,59,60,38,67,2014
Springfield MO,72,45,71,69,59,68,73,48,74,2014
New Orleans LA,69,40,64,53,62,52,75,33,63,2014
Dallas-Ft. Worth TX,63,36,48,53,64,60,68,32,64,2014
Sioux City IA,75,55,55,69,50,55,70,54,73,2014
Waco-Temple-Bryan TX,63,35,56,53,62,53,74,36,66,2014
Victoria TX,68,14,44,64,100,52,69,0,76,2014
Wichita Falls TX & Lawton OK,66,39,46,65,75,71,80,55,71,2014
Monroe LA-El Dorado AR,72,45,59,61,71,69,73,48,82,2014
Birmingham AL,78,70,64,67,79,59,73,52,77,2014
Ottumwa IA-Kirksville MO,75,30,61,64,50,48,77,37,68,2014
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,77,55,69,74,77,64,85,58,78,2014
Odessa-Midland TX,61,25,56,59,46,58,77,40,72,2014
Amarillo TX,67,34,54,67,62,58,77,39,74,2014
Austin TX,66,30,52,51,64,63,69,35,67,2014
Harlingen-Weslaco-Brownsville-McAllen TX,59,44,32,43,46,34,41,42,75,2014
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76,51,68,72,56,66,68,58,78,2014
St. Joseph MO,82,64,65,77,68,72,91,31,71,2014
Jackson TN,87,62,64,69,70,69,73,51,83,2014
Memphis TN,76,79,63,57,72,56,69,52,80,2014
San Antonio TX,66,41,53,51,66,57,67,39,77,2014
Lafayette LA,67,71,69,61,54,52,74,29,58,2014
Lake Charles LA,69,37,65,62,67,56,68,32,66,2014
Alexandria LA,68,48,55,60,56,44,81,48,60,2014
Greenwood-Greenville MS,77,52,55,85,65,49,62,73,90,2014
Champaign & Springfield-Decatur IL,73,52,64,67,50,66,66,68,75,2014
Evansville IN,74,38,67,70,74,65,82,53,80,2014
Oklahoma City OK,74,32,60,53,65,63,78,36,65,2014
Lubbock TX,65,47,47,68,68,58,77,49,65,2014
