City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Houston TX,47,8,16,33,18,29,12,24,37,2004
Springfield MO,44,6,16,47,15,24,17,43,34,2004
New Orleans LA,43,8,14,39,20,30,15,27,35,2004
Dallas-Ft. Worth TX,38,7,16,35,19,27,12,22,35,2004
Sioux City IA,43,5,13,48,21,34,16,17,28,2004
Waco-Temple-Bryan TX,40,11,14,37,17,19,13,40,39,2004
Victoria TX,64,0,35,100,0,0,0,0,35,2004
Wichita Falls TX & Lawton OK,40,15,17,32,27,26,15,57,29,2004
Monroe LA-El Dorado AR,58,19,17,35,23,44,19,57,64,2004
Birmingham AL,48,11,22,37,25,39,15,27,42,2004
Ottumwa IA-Kirksville MO,58,0,14,59,17,33,14,30,39,2004
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,52,4,17,55,16,18,18,36,34,2004
Odessa-Midland TX,36,0,14,34,28,22,0,24,30,2004
Amarillo TX,41,6,16,51,14,20,12,20,42,2004
Austin TX,37,5,13,38,18,31,17,22,33,2004
Harlingen-Weslaco-Brownsville-McAllen TX,33,6,19,45,29,43,15,38,54,2004
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,55,11,15,63,13,27,17,51,42,2004
St. Joseph MO,46,11,17,70,0,26,23,58,28,2004
Jackson TN,38,8,16,36,20,14,12,18,27,2004
Memphis TN,48,8,15,34,19,21,17,28,41,2004
San Antonio TX,39,5,15,38,16,37,11,24,40,2004
Lafayette LA,36,13,14,41,26,17,12,18,32,2004
Lake Charles LA,41,19,21,21,0,0,0,32,52,2004
Alexandria LA,36,0,49,64,26,51,44,38,55,2004
Greenwood-Greenville MS,34,0,33,97,52,100,0,0,65,2004
Champaign & Springfield-Decatur IL,44,7,13,55,13,44,16,35,42,2004
Evansville IN,53,6,22,55,26,20,11,35,37,2004
Oklahoma City OK,41,5,12,39,17,33,16,31,38,2004
Lubbock TX,37,5,19,47,20,15,18,35,37,2004
Omaha NE,46,9,15,41,17,36,20,35,45,2004
Panama City FL,36,5,17,40,21,22,29,16,23,2004
Sherman TX-Ada OK,48,22,16,48,26,50,43,38,41,2004
Green Bay-Appleton WI,44,7,16,51,13,23,15,29,34,2004
Nashville TN,50,10,18,47,23,27,17,31,44,2004
San Angelo TX,30,0,15,57,47,0,0,33,29,2004
Abilene-Sweetwater TX,27,0,16,67,17,50,32,28,45,2004
Madison WI,49,4,13,48,13,25,12,32,37,2004
Ft. Smith-Fayetteville-Springdale-Rogers AR,48,5,18,34,23,17,12,50,36,2004
Tulsa OK,35,4,19,36,21,44,17,18,39,2004
Columbus-Tupelo-West Point MS,48,8,14,29,19,37,16,34,26,2004
Peoria-Bloomington IL,48,7,14,51,21,27,5,43,39,2004
Duluth MN-Superior WI,45,9,15,64,9,57,23,59,45,2004
Wichita-Hutchinson KS,39,6,21,53,13,40,18,44,38,2004
