location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
650,41,5,12,39,17,33,16,31,38,2004
652,46,9,15,41,17,36,20,35,45,2004
534,39,4,16,32,18,24,11,21,30,2004
631,58,0,14,59,17,33,14,30,39,2004
632,52,4,17,55,16,18,18,36,34,2004
804,43,13,14,40,49,55,23,23,13,2004
656,36,5,17,40,21,22,29,16,23,2004
597,100,0,26,78,42,83,70,0,27,2004
675,48,7,14,51,21,27,5,43,39,2004
504,52,7,16,41,23,36,14,30,37,2004
753,40,5,17,33,17,29,11,23,35,2004
508,51,10,17,50,23,34,16,35,43,2004
820,38,4,18,40,15,25,14,29,36,2004
500,44,6,17,39,21,31,14,29,38,2004
552,45,0,22,53,70,0,0,100,44,2004
521,43,3,16,45,20,36,17,20,32,2004
717,42,13,15,66,16,39,23,63,32,2004
560,47,8,17,38,17,49,15,36,39,2004
764,41,0,15,72,14,55,18,20,40,2004
811,38,5,17,32,15,29,8,21,34,2004
556,43,9,17,45,20,34,11,34,38,2004
573,42,7,16,51,16,26,9,35,28,2004
611,71,18,26,64,16,33,25,40,58,2004
538,43,6,13,49,14,29,14,27,33,2004
610,52,10,20,53,13,55,10,31,42,2004
862,40,4,17,41,12,35,13,29,35,2004
576,38,12,14,40,13,27,47,27,52,2004
770,42,6,16,39,16,21,14,35,39,2004
661,30,0,15,57,47,0,0,33,29,2004
641,39,5,15,38,16,37,11,24,40,2004
825,42,5,15,31,14,29,11,22,29,2004
807,41,5,15,32,13,28,13,20,31,2004
855,35,5,13,40,14,30,9,38,27,2004
507,43,11,17,37,28,43,10,45,26,2004
819,42,4,15,39,15,32,13,26,33,2004
657,48,22,16,48,26,50,43,38,41,2004
612,42,9,22,45,28,18,17,33,40,2004
624,43,5,13,48,21,34,16,17,28,2004
725,49,7,14,64,16,38,12,47,46,2004
588,43,2,14,41,12,14,14,28,36,2004
881,44,6,17,49,16,34,10,30,46,2004
619,44,6,16,47,15,24,17,43,34,2004
543,44,8,18,50,26,40,14,34,33,2004
