City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,70,37,83,64,56,76,66,47,80,2017
New York NY,70,34,53,56,53,79,56,52,78,2017
Binghamton NY,68,24,71,69,44,77,78,61,72,2017
Macon GA,53,38,62,46,60,47,53,41,66,2017
Philadelphia PA,75,35,61,62,75,84,69,56,78,2017
Detroit MI,69,38,66,61,57,73,70,45,74,2017
Boston MA-Manchester NH,70,37,58,62,72,76,58,58,74,2017
Savannah GA,63,32,71,60,47,66,70,44,74,2017
Pittsburgh PA,73,35,73,65,72,86,79,52,79,2017
Ft. Wayne IN,66,36,67,69,43,62,73,49,81,2017
Cleveland-Akron (Canton) OH,70,35,65,64,52,71,73,51,75,2017
Washington DC (Hagerstown MD),63,31,54,54,43,79,55,59,73,2017
Baltimore MD,68,42,65,60,56,79,66,67,85,2017
Flint-Saginaw-Bay City MI,69,47,79,72,54,76,76,63,76,2017
Buffalo NY,72,32,65,66,61,70,74,52,76,2017
Cincinnati OH,65,30,62,62,48,74,74,49,74,2017
Erie PA,69,34,73,72,60,85,75,57,83,2017
Charlotte NC,61,30,64,56,50,63,65,47,71,2017
Greensboro-High Point-Winston Salem NC,68,39,71,60,68,70,69,52,80,2017
Charleston SC,67,35,76,58,46,76,69,45,75,2017
Augusta GA,68,50,75,61,58,67,69,61,79,2017
Providence RI-New Bedford MA,65,40,59,63,55,77,68,48,74,2017
Columbus GA,65,50,74,61,56,63,68,62,83,2017
Burlington VT-Plattsburgh NY,68,30,75,72,63,90,68,59,68,2017
Atlanta GA,64,37,62,54,48,65,65,48,72,2017
Albany GA,63,50,69,62,52,54,73,47,81,2017
Utica NY,68,33,70,66,51,73,81,58,80,2017
Indianapolis IN,69,39,63,66,49,78,74,58,82,2017
Miami-Ft. Lauderdale FL,61,40,53,45,47,60,46,49,70,2017
Louisville KY,72,39,74,61,82,74,77,52,82,2017
Tallahassee FL-Thomasville GA,63,43,75,60,58,78,68,54,80,2017
Tri-Cities TN-VA,75,39,84,67,55,91,89,50,84,2017
Albany-Schenectady-Troy NY,67,24,66,65,54,76,72,48,74,2017
Hartford & New Haven CT,72,36,63,65,76,87,65,62,84,2017
Orlando-Daytona Beach-Melbourne FL,63,43,67,51,62,60,65,41,73,2017
Columbus OH,69,34,63,61,49,74,76,49,76,2017
Youngstown OH,73,23,73,71,58,70,84,45,80,2017
Bangor ME,70,33,95,72,57,88,67,78,87,2017
Rochester NY,69,29,62,61,45,76,72,58,72,2017
Tampa-St. Petersburg (Sarasota) FL,73,40,69,53,71,70,69,45,77,2017
Traverse City-Cadillac MI,69,30,87,66,45,72,75,48,68,2017
Lexington KY,73,29,73,69,61,77,91,67,87,2017
Dayton OH,65,32,64,63,44,72,80,49,83,2017
Springfield-Holyoke MA,70,42,64,73,73,79,72,72,75,2017
Norfolk-Portsmouth-Newport News VA,64,44,67,59,47,75,69,52,80,2017
Greenville-New Bern-Washington NC,64,41,84,62,53,72,74,58,78,2017
Columbia SC,63,41,74,69,47,69,69,73,83,2017
Toledo OH,68,35,67,71,57,74,80,57,81,2017
West Palm Beach-Ft. Pierce FL,70,33,70,54,77,69,65,49,74,2017
Watertown NY,70,29,69,70,45,99,87,46,75,2017
Wilmington NC,70,34,83,58,53,74,67,54,75,2017
Lansing MI,62,56,71,71,63,87,69,63,78,2017
Presque Isle ME,81,22,88,100,66,80,75,58,77,2017
Marquette MI,69,34,95,68,55,82,75,43,67,2017
Wheeling WV-Steubenville OH,72,24,88,73,56,80,100,43,85,2017
Syracuse NY,69,37,67,62,45,80,72,62,82,2017
Richmond-Petersburg VA,66,52,67,67,47,71,63,56,82,2017
Knoxville TN,67,24,71,60,65,72,85,41,74,2017
Lima OH,70,29,69,74,50,78,94,37,73,2017
Bluefield-Beckley-Oak Hill WV,84,34,81,82,51,85,90,61,79,2017
Raleigh-Durham (Fayetteville) NC,65,40,64,61,51,80,65,58,79,2017
Jacksonville FL,65,52,68,55,87,69,70,47,76,2017
Grand Rapids-Kalamazoo-Battle Creek MI,63,35,72,69,44,70,72,51,72,2017
Charleston-Huntington WV,81,41,89,74,61,80,94,58,92,2017
Elmira NY,65,13,65,72,42,71,83,43,68,2017
Harrisburg-Lancaster-Lebanon-York PA,67,38,68,65,65,88,77,45,73,2017
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66,31,69,63,59,68,72,48,73,2017
Harrisonburg VA,67,30,78,71,65,84,69,69,74,2017
Florence-Myrtle Beach SC,61,30,70,58,48,55,69,42,73,2017
Ft. Myers-Naples FL,76,35,77,50,57,62,64,42,71,2017
Roanoke-Lynchburg VA,66,45,77,66,84,80,76,62,80,2017
Johnstown-Altoona PA,70,44,75,72,51,88,82,65,72,2017
Chattanooga TN,67,27,74,60,53,70,82,49,74,2017
Salisbury MD,70,43,84,58,54,70,79,39,72,2017
Wilkes Barre-Scranton PA,73,28,73,72,72,83,83,50,75,2017
Terre Haute IN,63,35,83,73,44,77,79,54,73,2017
Lafayette IN,62,36,59,70,26,83,61,82,78,2017
Alpena MI,82,0,84,85,45,63,95,0,78,2017
Charlottesville VA,75,55,76,66,64,91,66,77,82,2017
South Bend-Elkhart IN,65,41,69,67,39,70,74,53,71,2017
Gainesville FL,74,73,85,60,72,100,67,94,92,2017
Zanesville OH,68,16,72,82,77,79,90,42,83,2017
Parkersburg WV,81,38,79,62,56,90,98,50,89,2017
Clarksburg-Weston WV,76,28,81,68,46,70,88,44,97,2017
Corpus Christi TX,57,30,63,60,51,64,81,42,82,2017
Chicago IL,65,32,58,59,45,69,66,49,71,2017
Joplin MO-Pittsburg KS,62,25,70,65,60,73,82,52,70,2017
Columbia-Jefferson City MO,64,41,75,65,57,81,81,86,90,2017
Topeka KS,65,35,67,71,47,81,77,61,73,2017
Dothan AL,63,24,84,66,61,68,78,50,79,2017
St. Louis MO,69,33,66,61,59,73,72,48,75,2017
Rockford IL,65,28,63,65,45,64,76,37,73,2017
Rochester MN-Mason City IA-Austin MN,100,70,88,72,37,98,87,100,100,2017
Shreveport LA,65,48,77,65,62,61,79,38,84,2017
Minneapolis-St. Paul MN,62,37,68,66,36,80,66,53,75,2017
Kansas City MO,66,44,66,65,57,74,71,50,79,2017
Milwaukee WI,64,38,64,62,43,67,68,56,74,2017
Houston TX,61,35,59,53,40,74,61,44,74,2017
Springfield MO,64,29,79,66,58,67,80,45,77,2017
New Orleans LA,60,46,72,57,55,62,70,50,73,2017
Dallas-Ft. Worth TX,55,35,55,52,50,64,61,39,69,2017
Sioux City IA,64,39,75,76,38,74,68,60,76,2017
Waco-Temple-Bryan TX,57,41,65,64,45,92,75,81,79,2017
Victoria TX,63,31,57,58,76,69,76,0,84,2017
Wichita Falls TX & Lawton OK,59,23,74,65,72,71,84,45,71,2017
Monroe LA-El Dorado AR,66,44,78,56,71,58,81,45,89,2017
Birmingham AL,68,64,81,61,79,65,70,49,81,2017
Ottumwa IA-Kirksville MO,70,33,73,76,35,91,87,62,88,2017
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70,50,84,64,68,72,89,54,85,2017
Odessa-Midland TX,51,25,56,53,51,67,77,32,79,2017
Amarillo TX,58,34,67,62,48,85,84,38,73,2017
Austin TX,57,30,54,54,51,76,63,43,73,2017
Harlingen-Weslaco-Brownsville-McAllen TX,55,37,49,55,43,60,62,56,96,2017
