City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,61,20,60,20,47,40,59,38,56,2009
New York NY,58,18,44,19,39,36,49,34,53,2009
Binghamton NY,58,19,59,25,36,43,68,54,49,2009
Macon GA,53,36,53,19,59,24,48,41,57,2009
Philadelphia PA,65,23,50,21,52,40,57,40,63,2009
Detroit MI,61,27,57,20,39,38,54,38,58,2009
Boston MA-Manchester NH,63,19,50,20,60,40,55,36,61,2009
Savannah GA,54,22,62,17,37,31,49,35,57,2009
Pittsburgh PA,70,26,63,23,56,43,64,48,73,2009
Ft. Wayne IN,64,17,62,25,35,35,67,45,72,2009
Cleveland-Akron (Canton) OH,60,23,53,21,39,36,58,35,56,2009
Washington DC (Hagerstown MD),42,17,30,11,25,26,33,23,47,2009
Baltimore MD,66,31,56,21,54,45,61,49,67,2009
Flint-Saginaw-Bay City MI,59,17,58,24,41,36,58,46,58,2009
Buffalo NY,69,23,57,23,52,43,45,55,68,2009
Cincinnati OH,61,19,49,20,39,46,58,39,66,2009
Erie PA,64,33,91,29,39,38,59,64,80,2009
Charlotte NC,58,20,50,20,46,32,62,41,60,2009
Greensboro-High Point-Winston Salem NC,61,15,51,19,45,32,57,48,66,2009
Charleston SC,69,34,52,21,45,39,58,46,75,2009
Augusta GA,62,38,59,20,41,31,57,40,72,2009
Providence RI-New Bedford MA,57,17,49,23,45,45,57,43,55,2009
Columbus GA,63,21,62,21,48,30,47,47,81,2009
Burlington VT-Plattsburgh NY,61,21,54,21,52,42,58,47,60,2009
Atlanta GA,60,24,46,17,42,33,53,35,56,2009
Albany GA,60,20,57,20,55,31,54,42,58,2009
Utica NY,60,15,69,21,56,36,46,68,56,2009
Indianapolis IN,64,33,57,23,41,41,57,48,79,2009
Miami-Ft. Lauderdale FL,54,23,46,15,45,29,46,27,53,2009
Louisville KY,62,25,53,20,60,40,67,40,64,2009
Tallahassee FL-Thomasville GA,63,26,57,24,56,42,48,54,80,2009
Tri-Cities TN-VA,59,30,73,19,55,39,66,37,62,2009
Albany-Schenectady-Troy NY,62,15,56,22,45,43,59,38,62,2009
Hartford & New Haven CT,64,19,54,23,51,41,58,43,62,2009
Orlando-Daytona Beach-Melbourne FL,57,23,56,17,48,28,58,29,56,2009
Columbus OH,64,18,48,20,38,42,56,41,67,2009
Youngstown OH,56,16,55,25,39,36,63,38,58,2009
Bangor ME,64,15,70,33,43,46,55,61,68,2009
Rochester NY,63,21,55,22,34,41,58,47,60,2009
Tampa-St. Petersburg (Sarasota) FL,63,21,59,17,52,30,53,27,55,2009
Traverse City-Cadillac MI,62,20,63,24,43,38,69,55,71,2009
Lexington KY,64,37,61,29,47,40,51,82,73,2009
Dayton OH,59,18,57,22,37,40,61,43,66,2009
Springfield-Holyoke MA,58,16,52,24,52,35,56,49,59,2009
Norfolk-Portsmouth-Newport News VA,56,23,58,18,40,35,53,31,62,2009
Greenville-New Bern-Washington NC,64,24,68,24,48,34,68,68,79,2009
Columbia SC,61,22,58,21,39,34,56,56,64,2009
Toledo OH,61,22,54,21,49,40,55,55,68,2009
West Palm Beach-Ft. Pierce FL,50,19,43,15,48,28,38,35,54,2009
Watertown NY,63,10,75,26,26,41,68,68,56,2009
Wilmington NC,64,21,66,22,51,43,72,49,65,2009
Lansing MI,60,28,54,22,43,35,64,48,65,2009
Presque Isle ME,42,0,47,19,47,44,100,39,59,2009
Marquette MI,52,27,87,23,47,37,56,46,60,2009
Wheeling WV-Steubenville OH,68,45,37,24,46,48,42,32,69,2009
Syracuse NY,67,20,58,24,40,39,57,51,58,2009
Richmond-Petersburg VA,62,30,54,21,41,41,48,40,68,2009
Knoxville TN,64,27,61,20,41,37,59,48,70,2009
Lima OH,62,31,42,25,35,41,54,57,55,2009
Bluefield-Beckley-Oak Hill WV,60,21,100,21,34,54,69,18,43,2009
Raleigh-Durham (Fayetteville) NC,64,23,58,21,44,40,58,50,67,2009
Jacksonville FL,58,28,52,18,54,32,59,35,64,2009
Grand Rapids-Kalamazoo-Battle Creek MI,55,17,57,23,33,31,53,45,55,2009
Charleston-Huntington WV,69,25,55,23,43,41,64,46,72,2009
Elmira NY,55,0,59,21,29,36,51,37,43,2009
Harrisburg-Lancaster-Lebanon-York PA,64,23,52,23,48,38,56,38,64,2009
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61,22,54,20,44,32,62,36,58,2009
Harrisonburg VA,61,19,69,27,50,33,65,72,70,2009
Florence-Myrtle Beach SC,59,25,58,23,37,30,62,40,62,2009
Ft. Myers-Naples FL,63,25,52,20,40,34,49,27,60,2009
Roanoke-Lynchburg VA,59,22,56,21,50,38,58,49,60,2009
Johnstown-Altoona PA,58,26,52,24,45,40,62,69,61,2009
Chattanooga TN,61,21,69,19,48,35,55,33,59,2009
Salisbury MD,60,31,56,21,48,41,72,54,61,2009
Wilkes Barre-Scranton PA,63,18,63,24,49,40,57,47,61,2009
Terre Haute IN,60,20,73,27,40,49,51,79,64,2009
Lafayette IN,69,39,35,24,32,35,42,95,53,2009
Alpena MI,79,0,0,100,100,100,0,0,89,2009
Charlottesville VA,65,31,66,22,47,46,55,33,72,2009
South Bend-Elkhart IN,61,19,53,23,33,39,65,41,63,2009
Gainesville FL,71,38,89,20,57,37,61,86,77,2009
Zanesville OH,57,19,31,18,21,27,33,28,60,2009
Parkersburg WV,72,0,53,26,74,55,56,100,100,2009
Clarksburg-Weston WV,70,21,48,21,35,46,80,47,54,2009
Corpus Christi TX,53,15,49,20,34,26,62,39,67,2009
Chicago IL,59,21,49,19,42,37,54,36,58,2009
Joplin MO-Pittsburg KS,51,17,61,22,36,30,57,17,53,2009
Columbia-Jefferson City MO,70,38,62,25,38,42,56,68,74,2009
Topeka KS,61,36,53,22,36,49,50,48,70,2009
Dothan AL,55,27,38,16,47,34,53,36,63,2009
St. Louis MO,59,19,56,19,47,36,57,39,63,2009
Rockford IL,58,14,53,24,32,35,50,32,70,2009
Rochester MN-Mason City IA-Austin MN,100,51,76,25,38,53,68,75,80,2009
Shreveport LA,54,16,47,19,44,26,66,32,59,2009
Minneapolis-St. Paul MN,57,25,51,20,38,39,49,37,62,2009
Kansas City MO,60,27,62,21,42,35,63,36,63,2009
Milwaukee WI,60,29,58,21,49,40,53,36,63,2009
Houston TX,59,23,49,17,35,30,55,31,60,2009
Springfield MO,57,19,52,24,37,39,54,43,55,2009
New Orleans LA,55,26,55,18,45,30,57,38,59,2009
Dallas-Ft. Worth TX,55,20,48,18,43,31,55,31,57,2009
Sioux City IA,56,12,50,24,37,34,52,45,58,2009
Waco-Temple-Bryan TX,48,26,49,19,33,30,52,51,54,2009
Victoria TX,53,28,47,18,52,45,42,0,63,2009
Wichita Falls TX & Lawton OK,60,23,65,19,53,37,62,60,65,2009
Monroe LA-El Dorado AR,60,32,60,29,56,35,53,63,66,2009
Birmingham AL,64,40,60,21,54,27,57,38,63,2009
Ottumwa IA-Kirksville MO,54,31,69,27,41,47,43,83,86,2009
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,59,21,66,25,54,37,35,77,59,2009
Odessa-Midland TX,52,13,70,21,31,25,67,28,76,2009
Amarillo TX,51,9,53,21,34,28,38,31,59,2009
