City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,68,22,66,28,79,23,53,20,43,2008
New York NY,64,18,48,28,54,23,46,21,37,2008
Binghamton NY,65,15,62,37,57,29,85,28,41,2008
Macon GA,66,23,58,32,76,24,59,32,44,2008
Philadelphia PA,75,23,59,30,72,27,57,25,45,2008
Detroit MI,67,25,63,33,52,23,53,23,43,2008
Boston MA-Manchester NH,72,21,61,30,79,26,52,22,46,2008
Savannah GA,61,24,60,30,61,18,44,20,44,2008
Pittsburgh PA,77,25,66,34,72,31,59,29,53,2008
Ft. Wayne IN,70,19,55,33,49,23,55,28,48,2008
Cleveland-Akron (Canton) OH,68,20,59,31,53,20,48,23,43,2008
Washington DC (Hagerstown MD),55,19,42,21,43,21,42,17,38,2008
Baltimore MD,72,30,61,31,66,31,59,27,47,2008
Flint-Saginaw-Bay City MI,65,23,58,38,53,20,47,40,43,2008
Buffalo NY,79,21,67,37,71,25,43,37,47,2008
Cincinnati OH,68,18,66,32,53,25,63,28,48,2008
Erie PA,84,26,60,38,69,37,49,38,56,2008
Charlotte NC,60,21,53,29,64,23,59,27,43,2008
Greensboro-High Point-Winston Salem NC,70,21,68,28,60,22,45,31,48,2008
Charleston SC,71,23,68,27,62,28,69,23,51,2008
Augusta GA,71,26,67,35,79,20,58,25,49,2008
Providence RI-New Bedford MA,67,19,55,32,68,24,52,30,44,2008
Columbus GA,59,29,66,30,65,16,35,36,47,2008
Burlington VT-Plattsburgh NY,72,22,65,37,68,32,60,32,47,2008
Atlanta GA,66,21,54,26,56,22,50,19,42,2008
Albany GA,66,23,65,28,50,17,34,16,44,2008
Utica NY,69,14,47,40,83,12,47,53,48,2008
Indianapolis IN,71,26,59,34,56,25,56,36,60,2008
Miami-Ft. Lauderdale FL,58,22,48,22,54,20,39,17,37,2008
Louisville KY,67,25,63,29,79,25,64,24,48,2008
Tallahassee FL-Thomasville GA,68,20,67,32,62,26,49,31,48,2008
Tri-Cities TN-VA,66,33,64,30,77,22,57,29,55,2008
Albany-Schenectady-Troy NY,69,17,64,31,61,25,56,27,46,2008
Hartford & New Haven CT,72,20,61,34,70,26,54,28,44,2008
Orlando-Daytona Beach-Melbourne FL,62,20,63,26,62,20,50,19,41,2008
Columbus OH,69,17,59,30,59,23,58,26,44,2008
Youngstown OH,69,15,80,44,59,19,39,28,47,2008
Bangor ME,78,18,75,48,59,25,27,37,54,2008
Rochester NY,69,22,68,30,57,24,60,26,46,2008
Tampa-St. Petersburg (Sarasota) FL,70,22,60,28,71,20,49,18,40,2008
Traverse City-Cadillac MI,71,9,100,33,71,29,63,26,48,2008
Lexington KY,76,24,71,44,58,25,48,50,55,2008
Dayton OH,62,17,60,31,55,22,57,27,41,2008
