City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,70,31,56,38,37,42,22,24,56,2007
New York NY,64,29,43,34,36,41,18,26,48,2007
Binghamton NY,61,20,56,43,28,45,25,43,54,2007
Macon GA,65,42,54,35,40,42,16,36,48,2007
Philadelphia PA,72,34,49,38,46,47,21,31,55,2007
Detroit MI,68,36,57,38,31,37,20,30,50,2007
Boston MA-Manchester NH,73,31,51,37,49,44,21,28,54,2007
Savannah GA,65,25,58,31,41,34,20,23,55,2007
Pittsburgh PA,75,34,58,41,42,46,19,38,64,2007
Ft. Wayne IN,66,24,53,44,29,37,20,43,55,2007
Cleveland-Akron (Canton) OH,64,33,52,35,32,33,20,25,54,2007
Washington DC (Hagerstown MD),62,29,45,30,30,52,18,28,53,2007
Baltimore MD,72,44,57,37,39,53,23,34,54,2007
Flint-Saginaw-Bay City MI,68,42,62,44,30,35,15,41,46,2007
Buffalo NY,78,32,54,46,40,40,18,38,57,2007
Cincinnati OH,69,35,57,37,30,42,19,33,61,2007
Erie PA,79,14,72,43,42,53,18,52,56,2007
Charlotte NC,59,26,51,35,35,36,19,32,54,2007
Greensboro-High Point-Winston Salem NC,65,31,54,35,39,36,22,34,57,2007
Charleston SC,79,32,61,36,38,45,18,32,64,2007
Augusta GA,73,57,63,41,36,38,24,36,63,2007
Providence RI-New Bedford MA,61,30,49,40,38,43,20,37,47,2007
Columbus GA,67,28,60,44,35,51,25,45,63,2007
Burlington VT-Plattsburgh NY,72,37,46,46,43,49,22,46,55,2007
Atlanta GA,65,33,50,31,35,40,19,26,52,2007
Albany GA,72,24,43,36,41,29,24,35,54,2007
Utica NY,52,16,54,41,34,20,20,18,54,2007
Indianapolis IN,70,32,57,41,33,43,21,41,69,2007
Miami-Ft. Lauderdale FL,56,32,44,27,34,33,15,22,43,2007
Louisville KY,63,30,47,36,40,37,23,33,54,2007
Tallahassee FL-Thomasville GA,70,40,57,42,38,42,17,45,61,2007
Tri-Cities TN-VA,65,45,67,41,29,39,26,27,65,2007
Albany-Schenectady-Troy NY,67,24,51,38,39,44,19,29,53,2007
Hartford & New Haven CT,68,26,52,40,42,47,21,32,52,2007
Orlando-Daytona Beach-Melbourne FL,60,34,56,30,37,33,19,21,48,2007
Columbus OH,66,31,48,36,31,41,21,28,54,2007
Youngstown OH,65,27,59,45,29,21,19,42,64,2007
Bangor ME,78,45,58,70,43,44,18,58,64,2007
Rochester NY,68,32,58,39,30,39,23,33,52,2007
Tampa-St. Petersburg (Sarasota) FL,69,32,53,31,40,37,21,20,47,2007
Traverse City-Cadillac MI,60,31,70,43,29,42,16,36,70,2007
Lexington KY,81,56,59,52,40,48,18,74,72,2007
Dayton OH,63,31,51,34,30,35,19,26,57,2007
Springfield-Holyoke MA,66,23,46,43,39,44,22,35,55,2007
Norfolk-Portsmouth-Newport News VA,57,31,55,32,26,39,19,27,49,2007
Greenville-New Bern-Washington NC,72,48,67,39,41,43,25,51,50,2007
Columbia SC,67,31,48,39,36,41,16,43,61,2007
Toledo OH,65,27,53,37,37,35,22,37,60,2007
West Palm Beach-Ft. Pierce FL,63,34,45,30,38,34,15,22,46,2007
Watertown NY,53,34,59,37,30,45,13,39,40,2007
Wilmington NC,65,29,61,37,41,39,27,29,54,2007
Lansing MI,67,44,57,44,37,53,21,46,56,2007
Presque Isle ME,68,0,43,44,37,43,35,71,49,2007
Marquette MI,56,53,72,54,46,43,23,49,59,2007
Wheeling WV-Steubenville OH,82,30,69,52,25,62,26,31,62,2007
Syracuse NY,71,32,50,43,36,52,20,39,50,2007
Richmond-Petersburg VA,65,37,45,36,31,48,19,36,60,2007
Knoxville TN,69,34,62,37,38,46,21,36,58,2007
Lima OH,71,27,58,46,28,47,26,53,47,2007
Bluefield-Beckley-Oak Hill WV,61,30,70,50,41,28,23,35,57,2007
Raleigh-Durham (Fayetteville) NC,70,38,56,36,36,49,25,38,59,2007
Jacksonville FL,57,27,52,30,43,35,19,28,55,2007
Grand Rapids-Kalamazoo-Battle Creek MI,62,30,54,43,31,37,17,38,49,2007
Charleston-Huntington WV,77,50,69,46,41,42,25,49,71,2007
Elmira NY,65,15,72,41,28,35,23,31,44,2007
Harrisburg-Lancaster-Lebanon-York PA,69,27,54,44,46,42,19,25,54,2007
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65,24,51,38,34,39,19,29,49,2007
Harrisonburg VA,71,45,78,47,40,48,27,40,47,2007
Florence-Myrtle Beach SC,69,49,44,39,34,36,14,39,70,2007
Ft. Myers-Naples FL,71,33,58,31,30,38,17,26,51,2007
Roanoke-Lynchburg VA,63,20,51,39,36,46,24,36,52,2007
Johnstown-Altoona PA,64,37,44,41,29,41,17,41,54,2007
Chattanooga TN,66,30,57,33,39,38,23,23,52,2007
Salisbury MD,64,30,57,40,31,61,21,29,52,2007
Wilkes Barre-Scranton PA,69,24,57,46,36,48,22,41,56,2007
Terre Haute IN,66,23,56,48,40,49,17,39,67,2007
Lafayette IN,71,40,44,30,16,48,18,70,55,2007
Alpena MI,0,0,0,100,100,0,0,0,0,2007
Charlottesville VA,73,51,64,40,35,50,29,31,57,2007
South Bend-Elkhart IN,61,22,46,38,26,37,18,33,52,2007
Gainesville FL,76,64,75,40,48,56,27,49,74,2007
Zanesville OH,56,36,46,43,27,46,34,28,39,2007
Parkersburg WV,72,62,49,24,75,58,24,48,100,2007
Clarksburg-Weston WV,69,30,60,43,30,37,35,24,41,2007
Corpus Christi TX,54,21,46,33,32,26,15,25,67,2007
Chicago IL,65,31,46,35,34,35,19,26,53,2007
Joplin MO-Pittsburg KS,56,35,55,50,33,43,20,43,61,2007
Columbia-Jefferson City MO,78,49,69,50,40,57,22,67,64,2007
Topeka KS,54,26,54,40,22,58,26,44,64,2007
Dothan AL,55,34,60,36,43,32,26,36,63,2007
St. Louis MO,65,28,53,36,39,40,22,27,58,2007
Rockford IL,66,18,64,43,27,34,22,40,47,2007
Rochester MN-Mason City IA-Austin MN,100,100,75,50,33,68,28,51,65,2007
Shreveport LA,57,29,49,38,36,38,14,34,48,2007
Minneapolis-St. Paul MN,62,38,50,37,27,39,19,31,55,2007
Kansas City MO,62,30,56,36,35,40,23,29,56,2007
Milwaukee WI,68,36,58,36,36,41,18,28,53,2007
Houston TX,70,36,48,31,28,40,21,24,53,2007
