City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,55,23,26,25,38,48,48,19,44,2006
New York NY,49,18,18,20,26,38,37,22,33,2006
Binghamton NY,54,19,26,27,20,35,34,30,26,2006
Macon GA,44,24,23,18,39,50,46,29,39,2006
Philadelphia PA,57,24,23,23,40,42,44,24,40,2006
Detroit MI,52,21,23,24,27,34,38,25,36,2006
Boston MA-Manchester NH,56,20,23,22,46,44,40,21,38,2006
Savannah GA,48,23,31,24,30,37,46,29,35,2006
Pittsburgh PA,58,23,25,25,37,42,41,32,44,2006
Ft. Wayne IN,51,17,26,26,24,48,37,26,38,2006
Cleveland-Akron (Canton) OH,50,20,22,22,30,31,48,21,38,2006
Washington DC (Hagerstown MD),51,21,21,18,27,55,40,23,38,2006
Baltimore MD,55,26,22,24,38,53,48,26,40,2006
Flint-Saginaw-Bay City MI,50,22,26,28,19,33,38,30,33,2006
Buffalo NY,57,17,24,29,31,34,40,29,38,2006
Cincinnati OH,51,19,23,23,29,37,41,22,42,2006
Erie PA,61,23,29,32,21,43,52,38,47,2006
Charlotte NC,47,15,23,23,36,32,44,26,38,2006
Greensboro-High Point-Winston Salem NC,54,20,22,21,35,33,45,30,43,2006
Charleston SC,57,38,28,18,34,32,66,24,48,2006
Augusta GA,50,24,28,21,41,15,53,31,52,2006
Providence RI-New Bedford MA,48,18,20,25,37,38,41,22,38,2006
Columbus GA,53,24,21,23,20,47,35,35,49,2006
Burlington VT-Plattsburgh NY,55,27,22,28,36,56,44,25,40,2006
Atlanta GA,50,21,21,20,34,36,40,19,37,2006
Albany GA,48,32,23,25,40,28,28,27,41,2006
Utica NY,46,33,26,24,42,33,24,38,29,2006
Indianapolis IN,54,26,25,25,28,37,46,32,48,2006
Miami-Ft. Lauderdale FL,43,20,19,16,29,30,30,17,34,2006
Louisville KY,50,22,24,21,39,35,38,27,38,2006
Tallahassee FL-Thomasville GA,52,28,28,23,38,41,57,38,47,2006
Tri-Cities TN-VA,51,22,27,22,46,32,43,28,44,2006
Albany-Schenectady-Troy NY,52,21,22,24,31,39,41,24,39,2006
Hartford & New Haven CT,52,19,25,25,35,46,45,27,40,2006
Orlando-Daytona Beach-Melbourne FL,45,17,23,18,30,27,41,17,34,2006
Columbus OH,53,19,21,22,29,38,42,25,38,2006
Youngstown OH,49,9,29,31,24,31,50,43,34,2006
Bangor ME,54,32,22,41,23,40,38,47,43,2006
Rochester NY,53,15,24,26,21,36,47,24,36,2006
Tampa-St. Petersburg (Sarasota) FL,53,18,20,17,37,30,42,17,33,2006
Traverse City-Cadillac MI,50,18,23,25,19,38,35,41,26,2006
Lexington KY,62,38,25,33,29,43,29,66,50,2006
Dayton OH,49,11,23,24,30,33,48,24,40,2006
Springfield-Holyoke MA,48,15,22,23,40,44,57,30,36,2006
Norfolk-Portsmouth-Newport News VA,43,19,23,22,23,31,35,22,34,2006
Greenville-New Bern-Washington NC,46,25,29,23,41,44,35,39,50,2006
Columbia SC,51,26,22,24,41,26,40,28,43,2006
Toledo OH,55,27,22,29,34,35,47,36,44,2006
West Palm Beach-Ft. Pierce FL,48,19,20,18,40,30,43,18,32,2006
Watertown NY,48,34,29,13,37,64,68,11,29,2006
Wilmington NC,53,20,16,21,44,32,33,22,37,2006
Lansing MI,57,29,25,25,26,47,50,37,39,2006
Presque Isle ME,40,0,25,40,0,63,0,59,43,2006
Marquette MI,48,16,34,32,19,41,52,36,31,2006
Wheeling WV-Steubenville OH,63,18,22,33,33,36,53,21,49,2006
Syracuse NY,54,22,30,26,29,47,44,38,38,2006
Richmond-Petersburg VA,52,24,19,23,29,39,37,22,40,2006
Knoxville TN,48,12,20,22,40,42,39,27,39,2006
Lima OH,45,0,41,21,16,33,83,25,35,2006
Bluefield-Beckley-Oak Hill WV,50,28,17,16,32,88,41,51,49,2006
Raleigh-Durham (Fayetteville) NC,54,25,22,22,32,51,42,29,46,2006
Jacksonville FL,49,20,20,19,43,32,44,18,38,2006
Grand Rapids-Kalamazoo-Battle Creek MI,48,20,24,27,28,37,36,26,37,2006
Charleston-Huntington WV,52,28,30,23,31,35,55,23,51,2006
Elmira NY,42,20,17,17,16,76,40,29,39,2006
Harrisburg-Lancaster-Lebanon-York PA,53,20,25,25,39,36,42,24,40,2006
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49,20,21,21,31,36,47,21,38,2006
Harrisonburg VA,55,24,33,32,50,48,32,44,40,2006
Florence-Myrtle Beach SC,46,20,24,31,27,33,25,20,47,2006
Ft. Myers-Naples FL,58,15,25,16,29,23,40,22,37,2006
Roanoke-Lynchburg VA,46,19,23,26,32,40,58,33,37,2006
Johnstown-Altoona PA,48,12,21,27,29,33,39,53,32,2006
Chattanooga TN,48,17,23,23,33,38,40,23,44,2006
Salisbury MD,49,19,24,21,48,18,61,28,39,2006
Wilkes Barre-Scranton PA,53,20,23,27,36,47,39,39,37,2006
Terre Haute IN,50,29,30,32,36,41,38,34,37,2006
Lafayette IN,52,39,31,27,14,38,27,48,37,2006
Alpena MI,82,0,100,100,0,0,0,0,100,2006
Charlottesville VA,46,18,24,20,34,49,45,24,40,2006
South Bend-Elkhart IN,52,9,25,24,25,42,50,29,32,2006
Gainesville FL,55,30,33,23,47,53,50,39,43,2006
Zanesville OH,55,0,23,26,24,25,94,24,33,2006
Parkersburg WV,54,0,47,16,35,40,0,25,32,2006
