City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,67,43,61,70,67,64,68,48,73,2015
New York NY,64,36,44,55,53,58,56,46,63,2015
Binghamton NY,64,31,59,69,46,73,84,67,75,2015
Macon GA,66,60,62,68,66,53,71,60,73,2015
Philadelphia PA,71,45,51,63,77,69,67,56,72,2015
Detroit MI,67,40,54,61,64,57,69,46,65,2015
Boston MA-Manchester NH,69,44,50,64,79,67,62,58,71,2015
Savannah GA,68,56,61,64,53,53,67,69,67,2015
Pittsburgh PA,73,45,60,67,74,70,73,54,72,2015
Ft. Wayne IN,66,53,58,81,55,65,71,64,78,2015
Cleveland-Akron (Canton) OH,69,47,56,64,56,61,69,59,71,2015
Washington DC (Hagerstown MD),60,32,42,50,47,63,56,47,62,2015
Baltimore MD,71,55,56,61,61,77,64,74,80,2015
Flint-Saginaw-Bay City MI,69,54,70,77,60,66,73,64,70,2015
Buffalo NY,72,38,55,66,62,64,72,55,74,2015
Cincinnati OH,68,38,53,65,52,62,72,54,73,2015
Erie PA,68,52,61,77,66,56,80,63,70,2015
Charlotte NC,63,39,49,58,55,50,65,52,65,2015
Greensboro-High Point-Winston Salem NC,66,54,58,63,64,61,64,68,75,2015
Charleston SC,70,53,68,61,56,65,68,66,74,2015
Augusta GA,61,32,60,56,77,37,76,31,61,2015
Providence RI-New Bedford MA,65,50,51,65,59,70,66,59,68,2015
Columbus GA,66,62,52,68,62,61,74,70,74,2015
Burlington VT-Plattsburgh NY,65,37,55,70,69,77,66,66,67,2015
Atlanta GA,65,45,50,54,55,53,63,45,64,2015
Albany GA,69,53,55,66,53,55,67,65,82,2015
Utica NY,73,25,55,86,49,75,77,77,75,2015
Indianapolis IN,68,53,54,71,58,68,65,68,82,2015
Miami-Ft. Lauderdale FL,62,45,47,46,55,47,51,46,61,2015
Louisville KY,69,53,59,65,90,64,76,53,81,2015
Tallahassee FL-Thomasville GA,65,63,60,68,61,57,58,79,77,2015
Tri-Cities TN-VA,78,62,60,70,63,78,89,60,85,2015
Albany-Schenectady-Troy NY,68,33,55,69,56,71,71,57,70,2015
Hartford & New Haven CT,74,47,57,69,81,78,63,65,74,2015
Orlando-Daytona Beach-Melbourne FL,66,48,55,49,67,48,65,40,67,2015
Columbus OH,69,42,51,65,56,62,67,55,71,2015
Youngstown OH,72,47,59,68,63,62,79,65,77,2015
Bangor ME,71,44,68,79,66,81,66,65,84,2015
Rochester NY,72,47,57,67,48,69,71,65,72,2015
Tampa-St. Petersburg (Sarasota) FL,72,46,58,53,72,54,68,49,68,2015
Traverse City-Cadillac MI,64,34,65,76,49,71,70,57,69,2015
Lexington KY,73,44,61,72,56,64,87,80,79,2015
Dayton OH,68,45,55,64,50,64,74,56,73,2015
Springfield-Holyoke MA,67,62,56,78,75,72,63,81,75,2015
Norfolk-Portsmouth-Newport News VA,64,52,56,61,50,59,67,56,73,2015
Greenville-New Bern-Washington NC,64,38,63,62,56,57,75,53,72,2015
Columbia SC,68,55,59,70,59,57,64,79,83,2015
Toledo OH,69,52,62,72,67,63,75,60,77,2015
West Palm Beach-Ft. Pierce FL,71,45,55,54,80,59,57,48,71,2015
Watertown NY,61,36,56,65,41,61,71,48,70,2015
Wilmington NC,68,42,65,67,66,64,63,60,64,2015
Lansing MI,64,63,52,68,71,80,65,80,73,2015
Presque Isle ME,81,37,100,88,58,88,94,98,82,2015
