City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Houston TX,68,53,41,22,52,46,29,24,42,2010
Springfield MO,66,37,47,29,51,43,27,34,38,2010
New Orleans LA,61,57,45,25,58,39,28,29,39,2010
Dallas-Ft. Worth TX,52,33,33,20,49,34,24,19,32,2010
Sioux City IA,67,60,54,31,55,40,27,42,36,2010
Waco-Temple-Bryan TX,53,61,35,26,49,45,31,39,34,2010
Victoria TX,62,21,33,25,66,42,26,0,44,2010
Wichita Falls TX & Lawton OK,64,46,39,24,70,48,30,37,49,2010
Monroe LA-El Dorado AR,66,86,57,36,58,31,34,48,49,2010
Birmingham AL,69,84,50,26,71,42,31,34,42,2010
Ottumwa IA-Kirksville MO,65,46,52,28,41,63,35,59,48,2010
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70,68,43,35,55,40,28,49,45,2010
Odessa-Midland TX,49,24,39,31,58,42,21,40,41,2010
Amarillo TX,61,33,44,30,48,51,29,21,32,2010
Austin TX,54,37,35,25,58,44,27,27,38,2010
Harlingen-Weslaco-Brownsville-McAllen TX,55,48,36,27,57,38,26,36,50,2010
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,73,64,51,33,55,56,27,48,46,2010
St. Joseph MO,61,52,54,28,73,46,33,49,38,2010
Jackson TN,61,36,45,28,53,41,37,29,38,2010
Memphis TN,67,72,40,23,65,41,27,28,49,2010
San Antonio TX,59,55,37,25,57,52,33,27,48,2010
Lafayette LA,56,52,44,22,52,29,32,20,34,2010
Lake Charles LA,53,30,57,20,73,50,40,32,31,2010
Alexandria LA,58,42,48,21,47,47,26,32,27,2010
Greenwood-Greenville MS,58,61,61,33,99,41,28,88,60,2010
Champaign & Springfield-Decatur IL,70,79,39,35,48,52,24,49,46,2010
Evansville IN,67,40,45,28,75,49,39,29,49,2010
Oklahoma City OK,60,41,37,24,54,48,34,28,42,2010
Lubbock TX,54,46,40,26,54,50,31,30,37,2010
Omaha NE,68,44,43,27,58,60,32,31,43,2010
Panama City FL,61,29,50,20,56,33,29,21,37,2010
Sherman TX-Ada OK,63,69,48,35,70,49,19,28,44,2010
Green Bay-Appleton WI,62,43,41,29,49,43,29,28,35,2010
Nashville TN,70,64,54,26,78,52,32,39,50,2010
San Angelo TX,57,49,41,26,52,57,23,35,41,2010
Abilene-Sweetwater TX,55,33,42,26,68,43,21,24,36,2010
Madison WI,66,46,40,27,46,56,31,34,42,2010
Ft. Smith-Fayetteville-Springdale-Rogers AR,60,44,33,23,65,45,27,25,33,2010
Tulsa OK,62,30,45,24,52,40,26,24,43,2010
Columbus-Tupelo-West Point MS,51,76,54,35,67,60,28,69,39,2010
Peoria-Bloomington IL,70,41,51,32,54,48,24,37,50,2010
Duluth MN-Superior WI,63,40,54,36,46,51,23,38,42,2010
Wichita-Hutchinson KS,61,30,39,28,45,39,25,30,39,2010
Des Moines-Ames IA,65,39,40,27,56,50,25,37,45,2010
Davenport IA-Rock Island-Moline IL,67,44,39,29,44,43,21,26,38,2010
Mobile AL-Pensacola (Ft. Walton Beach) FL,59,38,46,24,56,41,27,27,38,2010
Minot-Bismarck-Dickinson(Williston) ND,69,33,48,38,59,50,27,29,42,2010
Huntsville-Decatur (Florence) AL,60,42,48,27,61,42,29,30,41,2010
Beaumont-Port Arthur TX,63,49,51,29,56,48,28,34,42,2010
Little Rock-Pine Bluff AR,69,44,43,29,70,37,29,32,47,2010
Montgomery (Selma) AL,62,59,40,24,65,45,27,27,43,2010
La Crosse-Eau Claire WI,57,39,43,30,47,47,31,38,38,2010
Wausau-Rhinelander WI,68,49,40,29,61,52,26,39,41,2010
Tyler-Longview(Lufkin & Nacogdoches) TX,56,50,43,25,58,42,33,36,39,2010
Hattiesburg-Laurel MS,64,46,39,36,69,23,23,13,47,2010
Meridian MS,66,68,35,32,100,40,35,32,42,2010
Baton Rouge LA,63,51,43,27,68,49,32,41,44,2010
Quincy IL-Hannibal MO-Keokuk IA,64,75,37,54,59,44,26,53,46,2010
Jackson MS,59,48,40,27,59,35,35,34,41,2010
Lincoln & Hastings-Kearney NE,57,49,34,37,48,46,28,44,38,2010
Fargo-Valley City ND,61,52,48,29,48,55,31,41,43,2010
Sioux Falls(Mitchell) SD,71,63,45,29,50,53,36,33,48,2010
Jonesboro AR,73,46,51,27,79,32,31,46,41,2010
Bowling Green KY,72,36,46,26,67,45,43,43,39,2010
Mankato MN,60,29,39,35,51,43,25,48,35,2010
North Platte NE,66,0,52,18,66,64,0,0,11,2010
Anchorage AK,48,23,50,23,35,42,29,21,40,2010
Honolulu HI,51,31,45,23,46,39,28,32,39,2010
Fairbanks AK,39,52,43,25,23,39,22,31,34,2010
Biloxi-Gulfport MS,55,44,44,20,55,33,29,13,34,2010
Juneau AK,65,0,48,19,41,47,13,0,50,2010
Laredo TX,47,23,22,26,36,38,22,39,35,2010
Denver CO,61,39,39,25,53,43,28,26,36,2010
Colorado Springs-Pueblo CO,53,25,36,25,45,43,31,27,30,2010
Phoenix AZ,63,50,38,25,59,42,29,28,41,2010
Butte-Bozeman MT,56,35,39,32,41,54,19,35,38,2010
Great Falls MT,49,17,47,30,50,64,34,30,52,2010
"Billings, MT",65,31,66,26,60,55,23,32,42,2010
Boise ID,55,39,42,28,66,44,29,32,47,2010
Idaho Falls-Pocatello ID,58,45,50,27,44,48,28,40,40,2010
Cheyenne WY-Scottsbluff NE,53,57,31,30,52,38,25,35,35,2010
Twin Falls ID,64,69,32,26,57,50,34,48,43,2010
Missoula MT,56,27,52,34,38,48,27,23,38,2010
Rapid City SD,59,52,47,30,61,45,26,38,40,2010
El Paso TX,49,63,31,26,39,41,26,42,47,2010
Helena MT,70,43,47,31,70,87,35,28,49,2010
Casper-Riverton WY,60,29,47,36,57,42,32,56,56,2010
Salt Lake City UT,54,39,39,28,55,39,25,31,40,2010
Yuma AZ-El Centro CA,61,0,40,25,54,54,16,40,43,2010
Grand Junction-Montrose CO,53,38,41,36,54,47,28,48,34,2010
Tucson (Sierra Vista) AZ,61,43,39,25,49,43,30,29,40,2010
Albuquerque-Santa Fe NM,65,37,41,29,52,57,32,31,50,2010
Glendive MT,76,0,0,0,0,0,0,0,0,2010
